"id","annotator_id","paper_id","section_id","label","is_other_language","is_annotator_confused","created_at"
"617","53","119504205","713","introduction","0","0","2026-03-12 11:24:48"
"618","53","119504205","714","results","0","0","2026-03-12 11:24:48"
"619","53","119504205","715","conclusion","0","0","2026-03-12 11:24:48"
"679","52","10607276","1","introduction","0","0","2026-03-12 11:43:39"
"680","52","10607276","2","introduction","0","0","2026-03-12 11:43:39"
"681","52","10607276","3","introduction","0","0","2026-03-12 11:43:39"
"682","52","10607276","4","methods","0","0","2026-03-12 11:43:39"
"683","52","10607276","5","methods","0","0","2026-03-12 11:43:39"
"684","52","10607276","6","methods","0","0","2026-03-12 11:43:39"
"685","52","10607276","7","methods","0","0","2026-03-12 11:43:39"
"686","52","10607276","8","methods","0","0","2026-03-12 11:43:39"
"687","52","10607276","9","something_else","0","0","2026-03-12 11:43:39"
"688","52","10607276","10","lit_review","0","0","2026-03-12 11:43:39"
"689","52","10607276","11","lit_review","0","0","2026-03-12 11:43:39"
"690","52","10607276","12","results","0","0","2026-03-12 11:43:39"
"691","52","10607276","13","development","0","0","2026-03-12 11:43:39"
"692","52","10607276","15","results","0","0","2026-03-12 11:43:39"
"693","52","10607276","16","results","0","0","2026-03-12 11:43:39"
"694","52","10607276","17","discussion","0","0","2026-03-12 11:43:39"
"695","52","10607276","18","conclusion","0","0","2026-03-12 11:43:39"
"696","52","10607276","19","case_report","0","0","2026-03-12 11:43:39"
"1457","55","10607276","1","introduction","0","0","2026-03-12 12:02:18"
"1458","55","10607276","2","introduction","0","0","2026-03-12 12:02:18"
"1459","55","10607276","3","introduction","0","0","2026-03-12 12:02:18"
"1460","55","10607276","4","methods","0","0","2026-03-12 12:02:18"
"1461","55","10607276","5","methods","0","0","2026-03-12 12:02:18"
"1462","55","10607276","6","methods","0","0","2026-03-12 12:02:18"
"1463","55","10607276","7","methods","0","0","2026-03-12 12:02:18"
"1464","55","10607276","8","methods","0","0","2026-03-12 12:02:18"
"1465","55","10607276","9","methods","0","0","2026-03-12 12:02:18"
"1466","55","10607276","10","methods","0","0","2026-03-12 12:02:18"
"1467","55","10607276","11","methods","0","0","2026-03-12 12:02:18"
"1468","55","10607276","12","methods","0","0","2026-03-12 12:02:18"
"1469","55","10607276","13","methods","0","0","2026-03-12 12:02:18"
"1470","55","10607276","14","results","0","0","2026-03-12 12:02:18"
"1471","55","10607276","15","results","0","0","2026-03-12 12:02:18"
"1472","55","10607276","16","results","0","0","2026-03-12 12:02:18"
"1473","55","10607276","17","discussion","0","0","2026-03-12 12:02:18"
"1474","55","10607276","18","conclusion","0","0","2026-03-12 12:02:18"
"1475","55","10607276","19","conclusion","0","0","2026-03-12 12:02:18"
"1675","63","134904862","402","introduction","0","0","2026-03-12 12:46:48"
"1676","63","134904862","403","methods","0","0","2026-03-12 12:46:48"
"1677","63","134904862","404","methods","0","0","2026-03-12 12:46:48"
"1678","63","134904862","405","methods","0","0","2026-03-12 12:46:48"
"1679","63","134904862","406","methods","0","0","2026-03-12 12:46:48"
"1680","63","134904862","407","results","0","0","2026-03-12 12:46:48"
"1681","63","134904862","408","conclusion","0","0","2026-03-12 12:46:48"
"2269","62","10464397","1090","lit_review","0","0","2026-03-12 13:12:32"
"2270","62","10464397","1091","lit_review","0","0","2026-03-12 13:12:32"
"2271","62","10464397","1092","lit_review","0","0","2026-03-12 13:12:32"
"2272","62","10464397","1093","methods","0","0","2026-03-12 13:12:32"
"2273","62","10464397","1094","methods","0","0","2026-03-12 13:12:32"
"2274","62","10464397","1095","methods","0","0","2026-03-12 13:12:32"
"2275","62","10464397","1096","methods","0","0","2026-03-12 13:12:32"
"2276","62","10464397","1097","methods","0","0","2026-03-12 13:12:32"
"2277","62","10464397","1098","methods","0","0","2026-03-12 13:12:32"
"2278","62","10464397","1099","methods","0","0","2026-03-12 13:12:32"
"2279","62","10464397","1100","results","0","0","2026-03-12 13:12:32"
"2280","62","10464397","1101","results","0","0","2026-03-12 13:12:32"
"2281","62","10464397","1102","results","0","0","2026-03-12 13:12:32"
"2282","62","10464397","1103","results","0","0","2026-03-12 13:12:32"
"2283","62","10464397","1104","results","0","0","2026-03-12 13:12:32"
"2284","62","10464397","1105","results","0","0","2026-03-12 13:12:32"
"2285","62","10464397","1106","discussion","0","0","2026-03-12 13:12:32"
"2286","62","10464397","1107","discussion","0","0","2026-03-12 13:12:32"
"2287","62","10464397","1108","discussion","0","0","2026-03-12 13:12:32"
"2288","62","10464397","1109","conclusion","0","0","2026-03-12 13:12:32"
"2372","64","11243226","20","introduction","0","0","2026-03-12 13:32:01"
"2373","64","11243226","21","methods","0","0","2026-03-12 13:32:01"
"2374","64","11243226","22","results","0","0","2026-03-12 13:32:01"
"2375","64","11243226","23","results","0","0","2026-03-12 13:32:01"
"2376","64","11243226","24","results","0","0","2026-03-12 13:32:01"
"2377","64","11243226","25","results","0","0","2026-03-12 13:32:01"
"2378","64","11243226","26","discussion","0","0","2026-03-12 13:32:01"
"2379","64","11243226","27","results","0","0","2026-03-12 13:32:01"
"2380","64","11243226","28","discussion","0","0","2026-03-12 13:32:01"
"2381","64","11243226","29","development","0","0","2026-03-12 13:32:01"
"2382","64","11243226","30","something_else","0","0","2026-03-12 13:32:01"
"2383","64","11243226","31","conclusion","0","0","2026-03-12 13:32:01"
"2501","66","10607276","1","introduction","0","0","2026-03-12 13:51:16"
"2502","66","10607276","2","lit_review","0","0","2026-03-12 13:51:16"
"2503","66","10607276","3","lit_review","0","0","2026-03-12 13:51:16"
"2504","66","10607276","4","methods","0","0","2026-03-12 13:51:16"
"2505","66","10607276","5","methods","0","0","2026-03-12 13:51:16"
"2506","66","10607276","6","methods","0","0","2026-03-12 13:51:16"
"2507","66","10607276","7","methods","0","0","2026-03-12 13:51:16"
"2508","66","10607276","8","methods","0","0","2026-03-12 13:51:16"
"2509","66","10607276","9","methods","0","0","2026-03-12 13:51:16"
"2510","66","10607276","10","methods","0","0","2026-03-12 13:51:16"
"2511","66","10607276","11","methods","0","0","2026-03-12 13:51:16"
"2512","66","10607276","12","methods","0","0","2026-03-12 13:51:16"
"2513","66","10607276","13","methods","0","0","2026-03-12 13:51:16"
"2514","66","10607276","14","results","0","0","2026-03-12 13:51:16"
"2515","66","10607276","15","results","0","0","2026-03-12 13:51:16"
"2516","66","10607276","16","results","0","0","2026-03-12 13:51:16"
"2517","66","10607276","17","discussion","0","0","2026-03-12 13:51:16"
"2518","66","10607276","18","conclusion","0","0","2026-03-12 13:51:16"
"2519","66","10607276","19","conclusion","0","0","2026-03-12 13:51:16"
"3022","68","211026000","723","introduction","0","0","2026-03-13 07:08:28"
"3023","68","211026000","724","lit_review","0","0","2026-03-13 07:08:28"
"3024","68","211026000","725","lit_review","0","0","2026-03-13 07:08:28"
"3025","68","211026000","726","lit_review","0","0","2026-03-13 07:08:28"
"3026","68","211026000","727","lit_review","0","0","2026-03-13 07:08:28"
"3027","68","211026000","728","lit_review","0","0","2026-03-13 07:08:28"
"3028","68","211026000","729","lit_review","0","0","2026-03-13 07:08:28"
"3029","68","211026000","730","lit_review","0","0","2026-03-13 07:08:28"
"3030","68","211026000","731","lit_review","0","0","2026-03-13 07:08:28"
"3031","68","211026000","732","lit_review","0","0","2026-03-13 07:08:28"
"3032","68","211026000","733","lit_review","0","0","2026-03-13 07:08:28"
"3033","68","211026000","734","lit_review","0","0","2026-03-13 07:08:28"
"3034","68","211026000","735","lit_review","0","0","2026-03-13 07:08:28"
"3035","68","211026000","736","lit_review","0","0","2026-03-13 07:08:28"
"3036","68","211026000","737","lit_review","0","0","2026-03-13 07:08:28"
"3037","68","211026000","738","lit_review","0","0","2026-03-13 07:08:28"
"3038","68","211026000","739","lit_review","0","0","2026-03-13 07:08:28"
"3039","68","211026000","740","conclusion","0","0","2026-03-13 07:08:28"
"3040","68","832325","679","introduction","0","0","2026-03-13 07:23:16"
"3041","68","832325","680","results","0","0","2026-03-13 07:23:16"
"3042","68","832325","681","results","0","0","2026-03-13 07:23:16"
"3043","68","832325","682","results","0","0","2026-03-13 07:23:16"
"3044","68","832325","683","results","0","0","2026-03-13 07:23:16"
"3045","68","832325","684","results","0","0","2026-03-13 07:23:16"
"3046","68","832325","685","results","0","0","2026-03-13 07:23:16"
"3047","68","832325","686","results","0","0","2026-03-13 07:23:16"
"3048","68","832325","687","results","0","0","2026-03-13 07:23:16"
"3049","68","832325","688","results","0","0","2026-03-13 07:23:16"
"3050","68","832325","689","results","0","0","2026-03-13 07:23:16"
"3051","68","832325","690","results","0","0","2026-03-13 07:23:16"
"3052","68","832325","691","results","0","0","2026-03-13 07:23:16"
"3053","68","832325","692","results","0","0","2026-03-13 07:23:16"
"3090","68","259183358","519","introduction","0","0","2026-03-13 07:23:47"
"3091","68","259183358","520","methods","0","0","2026-03-13 07:23:47"
"3092","68","259183358","521","methods","0","0","2026-03-13 07:23:47"
"3093","68","259183358","522","methods","0","0","2026-03-13 07:23:47"
"3094","68","259183358","523","methods","0","0","2026-03-13 07:23:47"
"3095","68","259183358","524","methods","0","0","2026-03-13 07:23:47"
"3096","68","259183358","525","methods","0","0","2026-03-13 07:23:47"
"3097","68","259183358","526","methods","0","0","2026-03-13 07:23:47"
"3098","68","259183358","527","methods","0","0","2026-03-13 07:23:47"
"3099","68","259183358","528","methods","0","0","2026-03-13 07:23:47"
"3100","68","259183358","529","results","0","0","2026-03-13 07:23:47"
"3101","68","259183358","530","results","0","0","2026-03-13 07:23:47"
"3102","68","259183358","531","results","0","0","2026-03-13 07:23:47"
"3103","68","259183358","532","results","0","0","2026-03-13 07:23:47"
"3104","68","259183358","533","results","0","0","2026-03-13 07:23:47"
"3105","68","259183358","534","discussion","0","0","2026-03-13 07:23:47"
"3106","68","259183358","535","discussion","0","0","2026-03-13 07:23:47"
"3107","68","259183358","536","conclusion","0","0","2026-03-13 07:23:47"
"3321","68","256251202","250","introduction","0","0","2026-03-13 07:33:07"
"3322","68","256251202","251","introduction","0","0","2026-03-13 07:33:07"
"3323","68","256251202","252","introduction","0","0","2026-03-13 07:33:07"
"3324","68","256251202","253","development","0","0","2026-03-13 07:33:07"
"3325","68","256251202","254","development","0","0","2026-03-13 07:33:07"
"3326","68","256251202","255","results","0","0","2026-03-13 07:33:07"
"3327","68","256251202","256","results","0","0","2026-03-13 07:33:07"
"3328","68","256251202","257","results","0","0","2026-03-13 07:33:07"
"3329","68","256251202","258","conclusion","0","0","2026-03-13 07:33:07"
"3330","68","246979394","35","introduction","0","0","2026-03-13 07:33:55"
"3331","68","246979394","36","methods","0","0","2026-03-13 07:33:55"
"3332","68","246979394","37","methods","0","0","2026-03-13 07:33:55"
"3333","68","246979394","38","methods","0","0","2026-03-13 07:33:55"
"3334","68","246979394","39","methods","0","0","2026-03-13 07:33:55"
"3335","68","246979394","40","methods","0","0","2026-03-13 07:33:55"
"3336","68","246979394","41","methods","0","0","2026-03-13 07:33:55"
