Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b2a64259c201670e1fc065,630bbdba33a8711f454d81d9,SCREENED OUT,Not Applicable,2026-03-12T11:40:59.414000Z,2026-03-12T12:04:47.587000Z,,2026-03-12T12:04:47.848547Z,1429.0,C120KXHP,6159,Graduate degree (MA/MSc/MPhil/other),English,58,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69bd12c5012ded58a9736f7a,5bce39ceb8bc680001c67555,AWAITING REVIEW,Not Applicable,2026-03-20T09:26:32.664000Z,2026-03-20T10:10:55.371000Z,,2026-03-20T10:10:55.731041Z,2663.0,CSNQ3YBB,1409,Graduate degree (MA/MSc/MPhil/other),English,29,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
69bd12c626ef77582ae36582,67eff64644dbaffed18ecb37,AWAITING REVIEW,Not Applicable,2026-03-20T09:26:30.160000Z,2026-03-20T11:07:39.770000Z,,2026-03-20T11:07:40.298647Z,6070.0,CSNQ3YBB,1807,Doctorate degree (PhD/other),"English, French, German, Spanish",27,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69bd12c96890c6737959e918,563e35190980220011572d9a,AWAITING REVIEW,Not Applicable,2026-03-20T09:27:11.384000Z,2026-03-20T10:33:45.072000Z,,2026-03-20T10:33:45.488193Z,3994.0,CSNQ3YBB,3375,Graduate degree (MA/MSc/MPhil/other),English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
69bd16d65d68cbdc824217c7,62aa591a476ebabe28612a92,AWAITING REVIEW,Not Applicable,2026-03-20T09:43:50.290000Z,2026-03-20T10:38:11.673000Z,,2026-03-20T10:38:12.065992Z,3262.0,CSNQ3YBB,4625,Graduate degree (MA/MSc/MPhil/other),English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69bd18d3e325be551d2b5b0d,69722ac00c49f0720d607948,AWAITING REVIEW,Not Applicable,2026-03-20T09:52:23.377000Z,2026-03-20T10:27:25.967000Z,,2026-03-20T10:27:26.652239Z,2103.0,CSNQ3YBB,507,Graduate degree (MA/MSc/MPhil/other),English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
69be6f031c1c72c6267e5a54,6978e94c86ef2c792e089759,AWAITING REVIEW,Not Applicable,2026-03-21T10:12:22.441000Z,2026-03-21T10:34:59.696000Z,,2026-03-21T10:35:03.778365Z,1358.0,CSNQ3YBB,626,Graduate degree (MA/MSc/MPhil/other),English,32,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69be6f034dd213a58218b3fb,5da09f733c3367001a72dec6,AWAITING REVIEW,Not Applicable,2026-03-21T10:12:26.908000Z,2026-03-21T10:43:41.888000Z,,2026-03-21T10:43:42.306449Z,1875.0,CSNQ3YBB,3901,Graduate degree (MA/MSc/MPhil/other),English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
69be6f11d393ecbebaf829e8,676f730d7b956c6dc4eb2102,SCREENED OUT,Not Applicable,2026-03-21T10:12:38.115000Z,2026-03-21T11:07:39.437000Z,,2026-03-21T11:07:39.771790Z,3302.0,C120KXHP,1858,Graduate degree (MA/MSc/MPhil/other),English,31,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
69be6f1529226dae78da42ea,676060d8382a3f0292c2c788,AWAITING REVIEW,Not Applicable,2026-03-21T10:20:18.478000Z,2026-03-21T11:03:22.248000Z,,2026-03-21T11:03:22.707379Z,2584.0,CSNQ3YBB,2426,Graduate degree (MA/MSc/MPhil/other),English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
